,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
4565,4566,584,Marshall Islands,2010,Population mid-year estimates for females (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4566,4567,584,Marshall Islands,2010,Sex ratio (males per 100 females),105,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4567,4568,584,Marshall Islands,2010,Population aged 0 to 14 years old (percentage),39.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4568,4569,584,Marshall Islands,2010,Population aged 60+ years old (percentage),3.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4569,4570,584,Marshall Islands,2010,Population density,296.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4570,4571,584,Marshall Islands,2015,Population mid-year estimates (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4571,4572,584,Marshall Islands,2015,Population mid-year estimates for males (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4572,4573,584,Marshall Islands,2015,Population mid-year estimates for females (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4573,4574,584,Marshall Islands,2015,Sex ratio (males per 100 females),104.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4574,4575,584,Marshall Islands,2015,Population aged 0 to 14 years old (percentage),37.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4575,4576,584,Marshall Islands,2015,Population aged 60+ years old (percentage),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4576,4577,584,Marshall Islands,2015,Population density,274.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4577,4578,584,Marshall Islands,2021,Population mid-year estimates (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4578,4579,584,Marshall Islands,2021,Population mid-year estimates for males (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4579,4580,584,Marshall Islands,2021,Population mid-year estimates for females (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4580,4581,584,Marshall Islands,2021,Sex ratio (males per 100 females),104.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4581,4582,584,Marshall Islands,2021,Population aged 0 to 14 years old (percentage),33.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4582,4583,584,Marshall Islands,2021,Population aged 60+ years old (percentage),7.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4583,4584,584,Marshall Islands,2021,Population density,233.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4584,4585,584,Marshall Islands,2021,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
4585,4586,584,Marshall Islands,2022,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4586,4587,584,Marshall Islands,2022,Population mid-year estimates for males (millions),0.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4587,4588,584,Marshall Islands,2022,Population mid-year estimates for females (millions),0.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4588,4589,584,Marshall Islands,2022,Sex ratio (males per 100 females),104.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4589,4590,584,Marshall Islands,2022,Population aged 0 to 14 years old (percentage),32.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4590,4591,584,Marshall Islands,2022,Population aged 60+ years old (percentage),7.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4591,4592,584,Marshall Islands,2022,Population density,230.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4592,4593,474,Martinique,2010,Population mid-year estimates (millions),0.39,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4593,4594,474,Martinique,2010,Population mid-year estimates for males (millions),0.18,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4594,4595,474,Martinique,2010,Population mid-year estimates for females (millions),0.21,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4595,4596,474,Martinique,2010,Sex ratio (males per 100 females),85.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4596,4597,474,Martinique,2010,Population aged 0 to 14 years old (percentage),19.7,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4597,4598,474,Martinique,2010,Population aged 60+ years old (percentage),20.3,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4598,4599,474,Martinique,2010,Population density,370,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4599,4600,474,Martinique,2015,Population mid-year estimates (millions),0.38,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4600,4601,474,Martinique,2015,Population mid-year estimates for males (millions),0.18,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4601,4602,474,Martinique,2015,Population mid-year estimates for females (millions),0.21,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4602,4603,474,Martinique,2015,Sex ratio (males per 100 females),86,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4603,4604,474,Martinique,2015,Population aged 0 to 14 years old (percentage),18.1,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4604,4605,474,Martinique,2015,Population aged 60+ years old (percentage),24.3,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4605,4606,474,Martinique,2015,Population density,361.8,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4606,4607,474,Martinique,2021,Population mid-year estimates (millions),0.37,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4607,4608,474,Martinique,2021,Population mid-year estimates for males (millions),0.17,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4608,4609,474,Martinique,2021,Population mid-year estimates for females (millions),0.2,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4609,4610,474,Martinique,2021,Sex ratio (males per 100 females),85.4,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4610,4611,474,Martinique,2021,Population aged 0 to 14 years old (percentage),16.2,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4611,4612,474,Martinique,2021,Population aged 60+ years old (percentage),29.8,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4612,4613,474,Martinique,2021,Population density,347.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4613,4614,474,Martinique,2021,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
4614,4615,474,Martinique,2022,Population mid-year estimates (millions),0.37,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4615,4616,474,Martinique,2022,Population mid-year estimates for males (millions),0.17,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4616,4617,474,Martinique,2022,Population mid-year estimates for females (millions),0.2,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4617,4618,474,Martinique,2022,Sex ratio (males per 100 females),85.3,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4618,4619,474,Martinique,2022,Population aged 0 to 14 years old (percentage),15.9,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4619,4620,474,Martinique,2022,Population aged 60+ years old (percentage),30.6,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4620,4621,474,Martinique,2022,Population density,346.7,"Projected estimate (medium fertility variant).;For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4621,4622,478,Mauritania,2010,Population mid-year estimates (millions),3.42,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4622,4623,478,Mauritania,2010,Population mid-year estimates for males (millions),1.68,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4623,4624,478,Mauritania,2010,Population mid-year estimates for females (millions),1.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4624,4625,478,Mauritania,2010,Sex ratio (males per 100 females),96.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4625,4626,478,Mauritania,2010,Population aged 0 to 14 years old (percentage),43.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4626,4627,478,Mauritania,2010,Population aged 60+ years old (percentage),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4627,4628,478,Mauritania,2010,Population density,3.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4628,4629,478,Mauritania,2015,Population mid-year estimates (millions),3.95,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4629,4630,478,Mauritania,2015,Population mid-year estimates for males (millions),1.93,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4630,4631,478,Mauritania,2015,Population mid-year estimates for females (millions),2.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4631,4632,478,Mauritania,2015,Sex ratio (males per 100 females),95.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4632,4633,478,Mauritania,2015,Population aged 0 to 14 years old (percentage),43.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4633,4634,478,Mauritania,2015,Population aged 60+ years old (percentage),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4634,4635,478,Mauritania,2015,Population density,3.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4635,4636,478,Mauritania,2021,Population mid-year estimates (millions),4.62,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4636,4637,478,Mauritania,2021,Population mid-year estimates for males (millions),2.26,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4637,4638,478,Mauritania,2021,Population mid-year estimates for females (millions),2.35,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4638,4639,478,Mauritania,2021,Sex ratio (males per 100 females),96,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4639,4640,478,Mauritania,2021,Population aged 0 to 14 years old (percentage),42,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4640,4641,478,Mauritania,2021,Population aged 60+ years old (percentage),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4641,4642,478,Mauritania,2021,Population density,4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4642,4643,478,Mauritania,2021,Surface area (thousand km2),1031,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
4643,4644,478,Mauritania,2022,Population mid-year estimates (millions),4.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4644,4645,478,Mauritania,2022,Population mid-year estimates for males (millions),2.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4645,4646,478,Mauritania,2022,Population mid-year estimates for females (millions),2.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4646,4647,478,Mauritania,2022,Sex ratio (males per 100 females),96.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4647,4648,478,Mauritania,2022,Population aged 0 to 14 years old (percentage),41.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4648,4649,478,Mauritania,2022,Population aged 60+ years old (percentage),5.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4649,4650,478,Mauritania,2022,Population density,4.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4650,4651,480,Mauritius,2010,Population mid-year estimates (millions),1.28,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4651,4652,480,Mauritius,2010,Population mid-year estimates for males (millions),0.64,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4652,4653,480,Mauritius,2010,Population mid-year estimates for females (millions),0.65,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4653,4654,480,Mauritius,2010,Sex ratio (males per 100 females),98.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4654,4655,480,Mauritius,2010,Population aged 0 to 14 years old (percentage),21.9,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4655,4656,480,Mauritius,2010,Population aged 60+ years old (percentage),11.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4656,4657,480,Mauritius,2010,Population density,632.2,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4657,4658,480,Mauritius,2015,Population mid-year estimates (millions),1.29,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4658,4659,480,Mauritius,2015,Population mid-year estimates for males (millions),0.64,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4659,4660,480,Mauritius,2015,Population mid-year estimates for females (millions),0.65,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4660,4661,480,Mauritius,2015,Sex ratio (males per 100 females),98.1,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4661,4662,480,Mauritius,2015,Population aged 0 to 14 years old (percentage),19.5,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4662,4663,480,Mauritius,2015,Population aged 60+ years old (percentage),14.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4663,4664,480,Mauritius,2015,Population density,637,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4664,4665,480,Mauritius,2021,Population mid-year estimates (millions),1.3,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4665,4666,480,Mauritius,2021,Population mid-year estimates for males (millions),0.64,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4666,4667,480,Mauritius,2021,Population mid-year estimates for females (millions),0.66,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4667,4668,480,Mauritius,2021,Sex ratio (males per 100 females),97.4,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4668,4669,480,Mauritius,2021,Population aged 0 to 14 years old (percentage),16.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4669,4670,480,Mauritius,2021,Population aged 60+ years old (percentage),18.4,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4670,4671,480,Mauritius,2021,Population density,639.9,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4671,4672,480,Mauritius,2021,Surface area (thousand km2),2,Excluding the islands of Saint Brandon and Agalega.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
4672,4673,480,Mauritius,2022,Population mid-year estimates (millions),1.3,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4673,4674,480,Mauritius,2022,Population mid-year estimates for males (millions),0.64,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4674,4675,480,Mauritius,2022,Population mid-year estimates for females (millions),0.66,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4675,4676,480,Mauritius,2022,Sex ratio (males per 100 females),97.3,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4676,4677,480,Mauritius,2022,Population aged 0 to 14 years old (percentage),16.3,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4677,4678,480,Mauritius,2022,Population aged 60+ years old (percentage),19,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4678,4679,480,Mauritius,2022,Population density,640.1,"Projected estimate (medium fertility variant).;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4679,4680,175,Mayotte,2010,Population mid-year estimates (millions),0.21,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4680,4681,175,Mayotte,2010,Population mid-year estimates for males (millions),0.1,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4681,4682,175,Mayotte,2010,Population mid-year estimates for females (millions),0.11,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
4682,4683,175,Mayotte,2010,Sex ratio (males per 100 females),94.6,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4683,4684,175,Mayotte,2010,Population aged 0 to 14 years old (percentage),44.7,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
4684,4685,175,Mayotte,2010,Population aged 60+ years old (percentage),3.9,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
